"","id","id2","comm_time"
"143",1445551925,761697759,1.13
"144",6831784566,44335688,1.98
"145",1445538835,12708858,2.68
"146",6875072024,6431681,0.73
"147",6849970865,57795780,0.62
"148",1445530042,62170564,2.98
"149",1445534781,6674504,4.27
"150",1445534095,46204205,3.77
"151",1446565687,83445975,2.68
"152",6804635287,56105299,0.63
"153",6804634926,97364268,8.08
"154",1446507638,51044848,6.37
"155",6868307586,85509551,1.82
"156",6823862749,94486313,4.48
"157",1446693526,97339595,9.35
"158",1445848867,3136324,3.08
"159",6804613850,85520960,0.48
"160",6858572352,19096508,0.95
"161",6856258287,9189842,0.9
"162",6879476105,35710508,0.27
"163",1446173623,43554593,0.55
"164",6890748374,90439911,3.17
"165",6889135306,46128168,1.73
"166",6849168121,65226907,45.37
"167",6868345727,97406504,2.25
"168",1445693224,16244244,18.82
"169",6859783526,40096196,4.45
"170",6892137608,54765296,2.55
"171",1445518370,34330951,54.05
"172",6890051597,8190442,1.17
"173",1445499588,29806912,1.68
"174",6828534754,7414660,6.38
"175",1446398986,3418574,0.22
"176",6848086315,79491492,8.8
"177",1445776628,27722450,0.98
"178",1446144203,9772279,10.02
"179",6821459946,40326618,12.68
"180",6893248846,6709686,7.68
"181",6844962766,73444062,2.65
"182",1445501885,30534201,7.15
"183",6880062066,50145090,1.75
"184",1445529988,93070141,3.42
"185",1446264443,43982667,0.87
"186",6869423126,3381163,2.32
"187",1446459920,57261613,0.23
"188",1445531326,96171566,1.82
"189",1449774268,87395105,6.37
"190",1446589144,40305665,2.82
"191",6895127909,83448085,35.42
"192",6800957035,70814112,108.27
"193",6845879085,93982591,36.93
"194",1445928462,88779,1.45
"195",1445538960,94568001,82.72
"196",6875793711,63547879,5.4
"197",6802454501,95647100,0.5
"198",1445498427,53639432,7.72
"199",6894010814,10803187,64.3
"200",6889804966,40090923,5.83
"201",1445526178,43983526,2.97
"202",1445599242,94486503,18
"203",6848409742,46205245,1.28
"204",1445867592,6341241,1.65
"205",6870809442,26087899,0.48
"206",6874979136,6705905,4.75
"207",1445600910,94486407,7.15
"208",1446733937,3448275,1
"209",1445529721,45559119,13.62
"210",6868869955,27732117,11.8
"211",6853134777,19580706398,6.62
"212",6855839922,1747793,0.93
"213",1445539723,21994545,52.17
"214",1446430476,55821871,2.78
"215",6841286094,52352548,5.9
"216",1445667112,96199111,7.37
"217",6845675000,12166237,44.72
"218",1445559161,96824249,3.33
"219",6829225870,57211684,0.17
"220",6857545139,80627345,8.12
"221",6839748866,2400864,9
"222",6860322325,98607900,50.4
"223",6867683451,65256790,0.73
"224",1445594635,94486300,0.3
"225",6894660404,65256645,34.38
"226",1445871588,55638582,9.55
"227",6875434377,13911228,25.57
"228",6846323954,6065031,14.07
"229",6866159612,33332996,1.3
"230",6825323160,54270620,0.87
"231",1445848060,90341084,4.35
"232",1446528952,9772607,0.8
"233",6874961053,63596895,0.52
"234",1446063803,51718646,31.67
"235",1445508353,73075310,2.23
"236",6858647673,94692288,13.65
"237",6830755859,59950061,247.15
"238",6894621976,97336086,1.95
"239",6884248772,3379449,32.27
"240",6804605146,34346086,0.18
"241",6891778778,96849989,4.25
"242",1445686087,98076887,0.97
"243",1445525216,15666,3.58
"244",1445546735,73074017,0.75
"245",6837778003,2793972,0.12
"246",6844330540,9752568,1.57
"247",6804943632,96199127,12.25
"248",1445613746,65223343,1.58
"249",6875969849,16239293,5.77
"250",1446485676,26245689,27.97
"251",6837008655,40091536,3.37
"252",1446129850,6872019,1.37
"253",6823760448,43416931,6.12
"254",6894903534,6352508,2.5
"255",6882315936,46179414,0.65
"256",6856580456,51328068,9.85
"257",6877913154,8944727,1.82
