,index,Variance,FTest,MutuaInfo,GRA,DecisionTree,XGBoost,RandomForest,ExtraTrees,Lasso
454,MLFER_BH,0.9999999999999998,34.56216241202305,0.2158540803662845,0.8007980430395361,0.0009598846724878656,0.0013286589,0.0018370267578453506,0.001798272000208572,0.21424182872072367
455,MLFER_BO,1.0,40.81166713477919,0.23269697650099364,0.8007724073172366,0.00029611000032038953,0.0010486433,0.0016167648123922396,0.0017496810112252485,0.2148613027530376
456,MLFER_S,1.0,6.648490552152311,0.1744414325125918,0.8013762922778048,0.017960684470835982,0.00041788694,0.003285732565944699,0.0018571711234860594,0.16548741501145542
457,MLFER_E,1.0,152.46399414557715,0.13642371670583842,0.8013060544798511,2.4871429839377697e-05,0.0007311284,0.0025271144804268463,0.0011081778088914446,0.09147289828361725
458,MLFER_L,0.9999999999999998,187.10698868531787,0.18147047171511588,0.801025121729582,9.216075480513403e-05,0.00055140746,0.0013351595987735026,0.000731033403202276,0.6201013955547653
459,PetitjeanNumber,1.0000000000000002,16.27705975383265,0.11379210255112593,0.8019020363313836,0.0011555057261446303,0.0002521407,0.0009470307460438545,0.0032054513771559053,0.018168528399649508
460,nRing,1.0000000000000002,294.76767853452037,0.1145601969498169,0.8013470335567591,3.405020722040415e-07,0.0,2.7051776074239214e-05,0.0005746456106014933,0.6876476169445831
461,n3Ring,1.0000000000000013,1.9696616397392306,0.0,0.7996995161823393,0.0,0.0,2.4119508876486947e-07,1.5663646240407872e-05,0.05819852573457186
462,n4Ring,1.0000000000000004,9.726581719667033,0.0,0.8003132581175715,0.0,0.0,1.191353570900512e-05,5.847507908590204e-05,0.018863685259017052
463,n5Ring,1.0000000000000002,45.378933952136855,0.06042193646323768,0.8024644534988598,4.968980339619565e-08,0.00030570873,4.242164198187014e-05,0.0014924464299738707,0.018743999530700103
464,n6Ring,1.0000000000000002,452.7417726112304,0.1830982073825589,0.8011961445888868,2.5809783294130803e-05,0.0,0.00031163752508862,0.0011630501370130083,0.026532292289218093
465,n7Ring,1.0000000000000002,83.94314373062166,0.03317851263383931,0.8016637487399758,0.0,0.0,9.27184847195409e-06,0.0005707009087683655,0.10921969286124417
466,n8Ring,0.9999999999999997,0.6423797436705982,0.0017026426159433283,0.7998476563169536,0.0,0.0,4.8543435588100296e-06,8.362410151837417e-06,0.006815287187571407
467,n12Ring,1.0000000000000002,1.1241113632688076,0.0,0.8005705264751881,0.0,0.0,0.0,1.3768362475246969e-06,0.004414223923287343
468,nG12Ring,0.9999999999999993,0.3590240851909307,0.0019296448034397118,0.7998126426146575,0.0,0.0,3.964673634844905e-09,1.870751656302155e-05,0.20536814967075048
469,nFRing,1.0,0.5540355014763471,0.0950140293757058,0.8021589918291175,2.0287753318893824e-06,0.00031239406,0.00010728445837106991,0.001051344484661103,0.1001390045825634
