time,country,subject,measure,value
2000-Q4,CZE,B1_GE,CQRSA,611266.0
2000-Q4,CZE,B1_GE,DNBSA,77.7
2000-Q4,CZE,B1_GE,DOBSA,77.7
2000-Q4,CZE,B1_GE,GPSA,0.436093086
2000-Q4,CZE,B1_GE,GYSA,4.181233116
2000-Q4,CZE,B1_GE,HCPCARSA,16658.6
2000-Q4,CZE,B1_GE,HVPVOBARSA,23686.1
2000-Q4,CZE,B1_GE,LNBQR,810682.0
2000-Q4,CZE,B1_GE,LNBQRSA,786735.0
2000-Q4,CZE,B1_GE,VIXOBSA,68.0
2000-Q4,CZE,B1_GE,VOBARSA,3146940.0
2000-Q4,CZE,B1_GE,VPVOBARSA,243232.7
2001-Q1,CZE,B1_GE,CARSA,2508644.0
2001-Q1,CZE,B1_GE,CPCARSA,176131.3
2001-Q1,CZE,B1_GE,CQR,584472.0
2001-Q1,CZE,B1_GE,CQRSA,627161.0
2001-Q1,CZE,B1_GE,DNBSA,78.8
2001-Q1,CZE,B1_GE,DOBSA,78.8
2001-Q1,CZE,B1_GE,GPSA,1.15706051
2001-Q1,CZE,B1_GE,GYSA,3.994814882
2001-Q1,CZE,B1_GE,HCPCARSA,17215.5
2001-Q1,CZE,B1_GE,HVPVOBARSA,24049.2
2001-Q1,CZE,B1_GE,LNBQR,750924.0
2001-Q1,CZE,B1_GE,LNBQRSA,795838.0
2001-Q1,CZE,B1_GE,VIXOBSA,68.8
2001-Q1,CZE,B1_GE,VOBARSA,3183352.0
2001-Q1,CZE,B1_GE,VPVOBARSA,246047.1
2001-Q2,CZE,B1_GE,CARSA,2548776.0
2001-Q2,CZE,B1_GE,CPCARSA,179097.1
2001-Q2,CZE,B1_GE,CQR,643332.0
2001-Q2,CZE,B1_GE,CQRSA,637194.0
2001-Q2,CZE,B1_GE,DNBSA,79.8
2001-Q2,CZE,B1_GE,DOBSA,79.8
2001-Q2,CZE,B1_GE,GPSA,0.278322975
2001-Q2,CZE,B1_GE,GYSA,3.229123684
2001-Q2,CZE,B1_GE,HCPCARSA,17512.2
2001-Q2,CZE,B1_GE,HVPVOBARSA,24125.5
2001-Q2,CZE,B1_GE,LNBQR,801853.0
2001-Q2,CZE,B1_GE,LNBQRSA,798053.0
2001-Q2,CZE,B1_GE,VIXOBSA,69.0
2001-Q2,CZE,B1_GE,VOBARSA,3192212.0
2001-Q2,CZE,B1_GE,VPVOBARSA,246731.9
2001-Q3,CZE,B1_GE,CARSA,2610504.0
2001-Q3,CZE,B1_GE,CPCARSA,181750.7
2001-Q3,CZE,B1_GE,CQR,660930.0
2001-Q3,CZE,B1_GE,CQRSA,652626.0
2001-Q3,CZE,B1_GE,DNBSA,81.4
